日期,小时,用电负荷
2019-08-01,00:00,85.935922
2019-08-01,01:00,79.44818100000005
2019-08-01,02:00,82.83567100000003
2019-08-01,03:00,72.06874300000005
2019-08-01,04:00,85.04074499999999
2019-08-01,05:00,77.52300500000001
2019-08-01,06:00,96.36065500000001
2019-08-01,07:00,86.24172600000001
2019-08-01,08:00,101.732957
2019-08-01,09:00,96.00473700000003
2019-08-01,10:00,102.31537900000012
2019-08-01,11:00,84.61576900000004
2019-08-01,12:00,99.18953400000005
2019-08-01,13:00,93.71747800000011
2019-08-01,14:00,104.33681000000018
2019-08-01,15:00,90.63146699999999
2019-08-01,16:00,101.71908200000009
2019-08-01,17:00,98.48214700000004
2019-08-01,18:00,103.97711200000008
2019-08-01,19:00,77.63999300000005
2019-08-01,20:00,74.4173120000001
2019-08-01,21:00,69.40658699999999
2019-08-01,22:00,72.42543300000001
2019-08-01,23:00,84.67073800000004
2019-08-02,00:00,80.42101900000004
2019-08-02,01:00,80.52687800000004
2019-08-02,02:00,83.82173000000006
2019-08-02,03:00,78.40081200000007
2019-08-02,04:00,85.92891900000005
2019-08-02,05:00,72.50103900000005
2019-08-02,06:00,95.70991000000002
2019-08-02,07:00,94.32626000000006
2019-08-02,08:00,103.69910700000001
2019-08-02,09:00,93.18077600000005
2019-08-02,10:00,101.18101300000009
2019-08-02,11:00,96.74090800000003
2019-08-02,12:00,92.92438900000013
2019-08-02,13:00,95.54528700000007
2019-08-02,14:00,104.45993500000007
2019-08-02,15:00,93.51502000000002
2019-08-02,16:00,106.40985500000015
2019-08-02,17:00,99.10300700000002
2019-08-02,18:00,100.34172800000009
2019-08-02,19:00,100.63955200000005
2019-08-02,20:00,84.0124130000001
2019-08-02,21:00,99.14306300000004
2019-08-02,22:00,90.21355200000005
2019-08-02,23:00,93.55390900000008
2019-08-03,00:00,77.210174
2019-08-03,01:00,85.36928000000005
2019-08-03,02:00,73.36716700000008
2019-08-03,03:00,82.84100900000001
2019-08-03,04:00,77.60498700000005
2019-08-03,05:00,85.54156000000005
2019-08-03,06:00,86.27639600000002
2019-08-03,07:00,91.37338900000009
2019-08-03,08:00,95.72342900000001
2019-08-03,09:00,98.31400400000007
2019-08-03,10:00,105.60658700000003
2019-08-03,11:00,97.39973500000008
2019-08-03,12:00,97.27657400000007
2019-08-03,13:00,102.22502000000006
2019-08-03,14:00,106.44419400000008
2019-08-03,15:00,104.62129900000006
2019-08-03,16:00,109.02332700000014
2019-08-03,17:00,93.28663800000005
2019-08-03,18:00,105.74638100000013
2019-08-03,19:00,95.38624300000005
2019-08-03,20:00,92.29623400000017
2019-08-03,21:00,102.43377200000009
2019-08-03,22:00,92.41575300000005
2019-08-03,23:00,94.94125800000003
2019-08-04,00:00,74.77215600000004
2019-08-04,01:00,86.10980600000005
2019-08-04,02:00,78.78543800000008
2019-08-04,03:00,86.00796500000007
2019-08-04,04:00,78.64508400000004
2019-08-04,05:00,79.57065100000004
2019-08-04,06:00,89.59627000000003
2019-08-04,07:00,90.27743700000003
2019-08-04,08:00,98.82398200000007
