day,day_of_week,weekend,half_month,holiday,hour,负荷
1,1,False,1,1,0,1488.9731339999798
1,1,False,1,1,1,66.89428799999996
1,1,False,1,1,2,51.47547600000001
1,1,False,1,1,3,52.37688800000003
1,1,False,1,1,4,48.082656
1,1,False,1,1,5,48.09740700000002
1,1,False,1,1,6,59.204098
1,1,False,1,1,7,55.08595399999998
1,1,False,1,1,8,52.331113000000045
1,1,False,1,1,9,54.337870000000024
1,1,False,1,1,10,56.05048000000002
1,1,False,1,1,11,54.074664000000006
1,1,False,1,1,12,56.19669700000005
1,1,False,1,1,13,57.80650100000005
1,1,False,1,1,14,58.47885600000002
1,1,False,1,1,15,56.655100000000076
1,1,False,1,1,16,56.945912000000064
1,1,False,1,1,17,58.337215000000036
1,1,False,1,1,18,60.004891
1,1,False,1,1,19,57.74263199999999
1,1,False,1,1,20,58.19542200000001
1,1,False,1,1,21,57.68893099999999
1,1,False,1,1,22,55.90960499999999
1,1,False,1,1,23,84.02833400000002
1,3,False,1,2,0,2206.673105000002
1,3,False,1,2,1,79.44818100000005
1,3,False,1,2,2,82.83567100000003
1,3,False,1,2,3,72.06874300000005
1,3,False,1,2,4,85.04074499999999
1,3,False,1,2,5,77.52300500000001
1,3,False,1,2,6,96.36065500000001
1,3,False,1,2,7,86.24172600000001
1,3,False,1,2,8,101.732957
1,3,False,1,2,9,96.00473700000003
1,3,False,1,2,10,102.31537900000012
1,3,False,1,2,11,84.61576900000004
1,3,False,1,2,12,99.18953400000005
1,3,False,1,2,13,93.71747800000011
1,3,False,1,2,14,104.33681000000018
1,3,False,1,2,15,90.63146699999999
1,3,False,1,2,16,101.71908200000009
1,3,False,1,2,17,98.48214700000004
1,3,False,1,2,18,103.97711200000008
1,3,False,1,2,19,77.63999300000005
1,3,False,1,2,20,74.4173120000001
1,3,False,1,2,21,69.40658699999999
1,3,False,1,2,22,72.42543300000001
1,3,False,1,2,23,84.67073800000004
1,6,True,1,2,0,2322.0224429999876
1,6,True,1,2,1,87.36685199999998
1,6,True,1,2,2,80.43385600000005
1,6,True,1,2,3,88.33323899999998
1,6,True,1,2,4,72.47386500000005
1,6,True,1,2,5,88.47053799999998
1,6,True,1,2,6,89.32722199999998
1,6,True,1,2,7,98.82173800000001
1,6,True,1,2,8,87.93797499999998
1,6,True,1,2,9,99.96044500000012
1,6,True,1,2,10,96.21006400000013
1,6,True,1,2,11,87.51113700000006
1,6,True,1,2,12,101.08931000000013
1,6,True,1,2,13,97.42914300000008
1,6,True,1,2,14,107.06889800000015
1,6,True,1,2,15,95.15500900000005
1,6,True,1,2,16,104.17402800000015
1,6,True,1,2,17,99.38850600000002
1,6,True,1,2,18,103.89822100000004
